Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
130750105;0750105;13;075;Benz
130750115;0750115;13;075;Bergholz
130750125;0750125;13;075;Blankensee
130750135;0750135;13;075;Blesewitz
130750155;0750155;13;075;Boldekow
130750165;0750165;13;075;Boock
130750175;0750175;13;075;Brietzig
130750185;0750185;13;075;Brünzow
130750205;0750205;13;075;Bugewitz
130750215;0750215;13;075;Buggenhagen
130750225;0750225;13;075;Butzow
130750235;0750235;13;075;Daberkow
130750255;0750255;13;075;Dargelin
130750265;0750265;13;075;Dargen
130750275;0750275;13;075;Dersekow
130750295;0750295;13;075;Ducherow
130750315;0750315;13;075;Eggesin, Stadt
130750325;0750325;13;075;Fahrenwalde
130750335;0750335;13;075;Ferdinandshof
130750345;0750345;13;075;Garz
130750355;0750355;13;075;Glasow
130750365;0750365;13;075;Görmin
130750375;0750375;13;075;Grambin
130750385;0750385;13;075;Grambow
130750390;0750390;13;075;Greifswald, Universitäts- und Hansestadt
130750405;0750405;13;075;Gribow
130750415;0750415;13;075;Groß Kiesow
130750425;0750425;13;075;Groß Luckow
130750435;0750435;13;075;Groß Polzin
130750445;0750445;13;075;Gützkow, Stadt
130750455;0750455;13;075;Hammer a.d. Uecker
130750465;0750465;13;075;Hanshagen
130750485;0750485;13;075;Heinrichswalde
130750490;0750490;13;075;Heringsdorf, Ostseebad
130750505;0750505;13;075;Hinrichshagen
130750515;0750515;13;075;Hintersee
130750535;0750535;13;075;Iven
130750545;0750545;13;075;Jarmen, Stadt
130750555;0750555;13;075;Jatznick
130750565;0750565;13;075;Kamminke
130750585;0750585;13;075;Karlshagen, Ostseebad
130750595;0750595;13;075;Katzow
130750605;0750605;13;075;Kemnitz
130750615;0750615;13;075;Klein Bünzow
130750635;0750635;13;075;Koblentz
130750655;0750655;13;075;Korswandt
130750665;0750665;13;075;Koserow, Ostseebad
130750675;0750675;13;075;Krackow
130750685;0750685;13;075;Krien
130750695;0750695;13;075;Kröslin
130750705;0750705;13;075;Kruckow
130750715;0750715;13;075;Krugsdorf
130750725;0750725;13;075;Krummin
130750735;0750735;13;075;Krusenfelde
130750745;0750745;13;075;Lassan, Stadt
130750755;0750755;13;075;Leopoldshagen
130750765;0750765;13;075;Levenhagen
130750785;0750785;13;075;Liepgarten
130750795;0750795;13;075;Löcknitz
130750805;0750805;13;075;Loddin, Seebad
130750815;0750815;13;075;Loissin
130750825;0750825;13;075;Loitz, Stadt
130750835;0750835;13;075;Lubmin, Seebad
130750845;0750845;13;075;Lübs
130750855;0750855;13;075;Luckow
130750875;0750875;13;075;Lütow
130750885;0750885;13;075;Medow
130750895;0750895;13;075;Meiersberg
130750905;0750905;13;075;Mellenthin
130750915;0750915;13;075;Mesekenhagen
130750925;0750925;13;075;Mölschow
130750935;0750935;13;075;Mönkebude
130750945;0750945;13;075;Murchin
130750955;0750955;13;075;Nadrensee
130750975;0750975;13;075;Neu Boltenhagen
130750985;0750985;13;075;Neu Kosenow
130751015;0751015;13;075;Neuenkirchen
130751025;0751025;13;075;Neuenkirchen
130751035;0751035;13;075;Nieden
130751045;0751045;13;075;Papendorf
130751050;0751050;13;075;Pasewalk, Stadt
130751065;0751065;13;075;Peenemünde
130751075;0751075;13;075;Penkun, Stadt
130751085;0751085;13;075;Plöwen
130751095;0751095;13;075;Polzow
130751105;0751105;13;075;Postlow
130751115;0751115;13;075;Pudagla
130751135;0751135;13;075;Ramin
130751145;0751145;13;075;Rankwitz
130751155;0751155;13;075;Rollwitz
130751165;0751165;13;075;Rossin
130751175;0751175;13;075;Rossow
130751185;0751185;13;075;Rothemühl
130751195;0751195;13;075;Rothenklempenow
130751205;0751205;13;075;Rubenow
130751215;0751215;13;075;Rubkow
130751225;0751225;13;075;Sarnow
130751235;0751235;13;075;Sassen-Trantow
130751245;0751245;13;075;Sauzin
130751255;0751255;13;075;Schmatzin
130751265;0751265;13;075;Schönwalde
130751275;0751275;13;075;Spantekow
130751285;0751285;13;075;Stolpe an der Peene
130751295;0751295;13;075;Stolpe auf Usedom
130751300;0751300;13;075;Strasburg (Uckermark), Stadt
130751315;0751315;13;075;Torgelow, Stadt
130751335;0751335;13;075;Trassenheide, Ostseebad
130751345;0751345;13;075;Tutow
130751355;0751355;13;075;Ückeritz, Seebad
130751360;0751360;13;075;Ueckermünde, Seebad , Stadt
130751375;0751375;13;075;Usedom, Stadt
130751385;0751385;13;075;Viereck
130751395;0751395;13;075;Vogelsang-Warsin
130751405;0751405;13;075;Völschow
130751415;0751415;13;075;Wackerow
130751425;0751425;13;075;Weitenhagen
130751435;0751435;13;075;Wilhelmsburg
130751445;0751445;13;075;Wolgast, Stadt
130751455;0751455;13;075;Wrangelsburg
130751465;0751465;13;075;Wusterhusen
130751475;0751475;13;075;Zemitz
130751485;0751485;13;075;Zempin, Seebad
