"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06431009";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"50";"0";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431009";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"55";"67";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"50";"2";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431010";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"55";"2643";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"60";"1626";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"65";"1207";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"70";"835";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"75";"151";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"50";"2163";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"55";"1261";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"60";"956";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"65";"238";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431011";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"55";"0";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"50";"0";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"55";"0";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"60";"0";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"65";"0";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431012";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"55";"1017";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"60";"553";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"65";"618";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"70";"393";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"75";"14";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"50";"681";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"55";"598";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"60";"478";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"65";"45";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431013";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"55";"184";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"60";"166";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"65";"208";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"70";"177";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"50";"171";"52";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"55";"187";"57";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"60";"227";"62";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"65";"4";"67";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431014";"70";"0";"72";"lnight";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"55";"0";"57";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"60";"0";"62";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"65";"0";"67";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"70";"0";"72";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
"06431015";"75";"0";"77";"lden";"Straße";"major";"Bundesland";"06431";"06";"431";"Bergstraße"
