"gemeinde_kennziffer";"name_stadt_gemeinde";"geoschluessel_stellen";"metrik";"l_untergrenze";"exponierte";"l_zentral";"bundesland_code";"quelle";"kartierungsumfang";"datenquelle";"gemeinde_bezeichnung";"gemeinde_kennzeichnung";"bevoelkerung";"flaeche"
"06431003";"Biblis";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431003";"Biblis";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Biblis";"Kreisangehörige Gemeinde";"9076";"4047"
"06431004";"Birkenau";"6";"lden";"55";"124";"57";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lden";"60";"43";"62";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lden";"65";"51";"67";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lden";"70";"101";"72";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lnight";"50";"59";"52";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lnight";"55";"50";"57";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lnight";"60";"104";"62";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431004";"Birkenau";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Birkenau";"Kreisangehörige Gemeinde";"9565";"2454"
"06431005";"Bürstadt";"6";"lden";"55";"940";"57";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lden";"60";"490";"62";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lden";"65";"220";"67";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lden";"70";"97";"72";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lnight";"50";"639";"52";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lnight";"55";"245";"57";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lnight";"60";"146";"62";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431005";"Bürstadt";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Bürstadt, Stadt";"Stadt";"17804";"3446"
"06431006";"Einhausen";"6";"lden";"55";"1178";"57";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lden";"60";"379";"62";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lden";"65";"118";"67";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lden";"70";"18";"72";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lden";"75";"2";"77";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lnight";"50";"756";"52";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lnight";"55";"234";"57";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lnight";"60";"43";"62";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lnight";"65";"3";"67";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431006";"Einhausen";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Einhausen";"Kreisangehörige Gemeinde";"6533";"2667"
"06431007";"Fürth";"6";"lden";"55";"441";"57";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lden";"60";"207";"62";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lden";"65";"179";"67";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lden";"70";"201";"72";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lden";"75";"43";"77";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lnight";"50";"236";"52";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lnight";"55";"183";"57";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lnight";"60";"190";"62";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lnight";"65";"88";"67";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431007";"Fürth";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Fürth";"Kreisangehörige Gemeinde";"10810";"3841"
"06431008";"Gorxheimertal";"6";"lden";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lden";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lden";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lden";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lnight";"50";"0";"52";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lnight";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lnight";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431008";"Gorxheimertal";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Gorxheimertal";"Kreisangehörige Gemeinde";"4178";"1045"
"06431009";"Grasellenbach";"6";"lden";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lden";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lden";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lden";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lnight";"50";"0";"52";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lnight";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lnight";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431009";"Grasellenbach";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Grasellenbach";"Kreisangehörige Gemeinde";"3982";"2288"
"06431010";"Groß-Rohrheim";"6";"lden";"55";"67";"57";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lden";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lden";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lden";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lden";"75";"0";"77";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lnight";"50";"2";"52";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lnight";"55";"0";"57";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lnight";"60";"0";"62";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lnight";"65";"0";"67";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431010";"Groß-Rohrheim";"6";"lnight";"70";"0";"72";"06";"Straße";"major";"Bundesland";"Groß-Rohrheim";"Kreisangehörige Gemeinde";"3638";"1956"
"06431011";"Heppenheim (Bergstraße)";"6";"lden";"55";"2643";"57";"06";"Straße";"major";"Bundesland";"Heppenheim (Bergstraße), Kreisstadt";"Stadt";"27864";"5212"
"06431011";"Heppenheim (Bergstraße)";"6";"lden";"60";"1626";"62";"06";"Straße";"major";"Bundesland";"Heppenheim (Bergstraße), Kreisstadt";"Stadt";"27864";"5212"
